Transcription_N,Class
"auch beim vierten Anruf ist der Service eine absolute Katastrophe es werden jedes Mal andere Auskünfte zu meinem Auftrag gegeben ich wart' seit drei Monaten auf einen Anschluss von der Telekom und auf Internet es kann mir nicht gesagt werden ob's noch drei Monate sechs Monate oder ein Jahr dauert es wird sich irgendwann jemand melden nur die haben auch keine Telefonnummer es ist eine absolute Katastrophe wenn's irgendeine Alternative statt der Telekom gibt würd' ich viel dafür zahlen die anzunehmen",1
"weiter",0
"weiter",0
"ich fand' das gut dass ich nicht so lange warten musste bis jemand ran ging ich fand' den Herrn der dran war der war sehr freundlich hat ist sehr auf mich eingegangen auf das was das Anliegen was ich  ihm vorgetragen hatte hat   rechtzeitig nachgefragt war im Tonfall freundlich  fand' ich sehr gut das Gespräch ich hoffe dass das bei der Telekom so bleibt und da was ich auch finde ist die null acht hunderter Nummer ja das war's eigentlich ich bedanke mich weiter",0
"ich hab' ja überhaupt nichts erreicht jetzt soll der Techniker schon das dritte Mal kommen ich hab' kein Telefon ich muss  mich in der Nachbarschaft rumärgern  und und betteln dass ich mal telefonieren darf weil ich hier kein Telefon habe aber die Telekom kriegt' das nicht auf die Reihe mir mein Telefon hier ins Haus zu legen",1
"ich hab' ja überhaupt nichts erreicht jetzt soll der Techniker schon das dritte Mal kommen ich hab' kein Telefon ich muss  mich in der Nachbarschaft rumärgern  und und betteln dass ich mal telefonieren darf weil ich hier kein Telefon habe aber die Telekom kriegt' das nicht auf die Reihe mir mein Telefon hier ins Haus zu legen",3
"weiter",0
"war sehr informativ und erfolgsversprechend",1
"wir wurde gut beraten uns  wurde geholfen und ganz schnell geholfen wir sind sehr zufrieden zufrieden",1
"super Service vielen Dank",0
"weiter weiter Mann",0
"also die Beratung war hervorragend alles bestens danke",1
"ja das Gespräch war angenehm ich bin überraschend schnell verbunden worden und man konnte mir gleich weiterhelfen ich hoffe dass die neue Anschrift die ich mitgeteilt hab' dann auch in Zukunft berücksichtig werden wird im Großen und Ganzen war das Gespräch sehr positiv",2
"weiter weiter",0
"ja Dankesehr die Mitarbeiterin war sehr kompetent sehr höflich und wir haben schnell und Problem los den Fehler erkannt und aus der Welt geräumt",1
"weiter",0
"ja ich wollte so früh wie möglich zur Telekom wechseln Ihre Mitarbeiterin kann ja nichts für die Auskunft die sie mir gegeben hat sie war war sehr zufrieden ich wollte nur eher wechseln weil Freenet wurde ja verkauft an eins und eins und ich dachte ich hätte da ein Sonderkündigungsrecht das hätt' ich gern in Spruch genommen und das geht ja nun leider nicht danke",1
"ich kann also nur bestätigen dass die Dame am Telefon ausgesucht höflich und freundlich war und sehr angenehm in der Artikulation Ende",0
"ich war sehr zufrieden mit der Beratung  war sehr kompetent hat mich sehr gefreut  leider war das mit   mit meinem bisherigen Relax vier hundert Paket nicht möglich  da  eine Option zu wählen um günstiger in fremde Netze sehr viele SMS zu schreiben und da sollte man vielleicht mal drüber nachdenken  so was noch nachträglich einzuführen ansonsten hab' ich jetzt einen anderen Tarif der mir wohl weiterhelfen wird Kosten zu sparen",1
"ich möchte endlich einen Sachbearbeiter haben und nicht Meinungen sprechen",a
"weiter weiter",0
"Mitarbeiter ja eins  ja ich bin mit allem zufrieden",0
"weiter",0
"ich habe die den Telekom Service unter der null acht hunderter Nummer angerufen hab' ich Problem mit Home Entertain und DSL daraufhin bin ich weitergeleitet worden zu Home ENtertain und dort bin ich dann in einer Sackgasse gelandet dass kein Kundenberater frei war und das ist für unzufriedenstellend",1
"ich habe die den Telekom Service unter der null acht hunderter Nummer angerufen hab' ich Problem mit Home Entertain und DSL daraufhin bin ich weitergeleitet worden zu Home ENtertain und dort bin ich dann in einer Sackgasse gelandet dass kein Kundenberater frei war und das ist für unzufriedenstellend",a
"weiter",0
"ja das war ein sehr  erfolgreiches Gespräch auch wenn's mir direkt beim Fehler nicht geholfen hat aber die Eingrenzung war hervorragend konstruktiv mitgedacht und  ja also ich fand' das sehr gut deswegen mach' ich das hier auch mit und muss ja hier auch mal was positives bemerken bin auch schnell durchgestellt worden und ja freundlich das warngut danke",1
"sehr gut voll zufrieden passt super danke",0
"den  den ich hatte das war sehr korrekt und sehr zuvorkommend",0
"es wurde wie üblich bei der Telekom zunächst einmal der Fehler wieder beim Kunden gesucht und noch nicht einmal ansatzweise der Versuch unternommen nachzugucken warum der Fehler nicht auch bei der Telekom liegt in diesem Fall liegt der Fehler bei dem auf dem Server der der Telekom aber ich muss meine Zeit damit verschwenden um nachzugucken ob vielleicht ich ein neues Passwort  vergeben müsste Fehler bei der Telekom aber er wird auf den Kunden erstmal abgewälzt das kann es nicht sein in dieser Art und Weise find' ich es ist unpassiert für die Telekom und ich glaube auch nicht dass so [vorn]  haben will",d
"es wurde wie üblich bei der Telekom zunächst einmal der Fehler wieder beim Kunden gesucht und noch nicht einmal ansatzweise der Versuch unternommen nachzugucken warum der Fehler nicht auch bei der Telekom liegt in diesem Fall liegt der Fehler bei dem auf dem Server der der Telekom aber ich muss meine Zeit damit verschwenden um nachzugucken ob vielleicht ich ein neues Passwort  vergeben müsste Fehler bei der Telekom aber er wird auf den Kunden erstmal abgewälzt das kann es nicht sein in dieser Art und Weise find' ich es ist unpassiert für die Telekom und ich glaube auch nicht dass so [vorn]  haben will",1
"ich sollte von so einer Kollegen einfach weitergeleitet werden die Weiterleitung ist aber unterbrochen und ich komme jetzt irgendwie am Ende des Gesprächs wobei ich noch gar nicht also mein Fragen gestellt habe und kann nichts  verbunden war also ich brauch' nur so viel Zeit also ich war nicht verbunden meine Frage wurde nicht nicht nur   beantwortet sondern überhaupt nicht angehört Dankeschön sehr unzufrieden sehr sehr sehr unzufrieden  sehr sehr sehr sehr unzufrieden ja",c
"weiter weiter",0
"auf die Frage die gestellt habe wurde absolut nicht eingegangen es wurde alles abgetan dass alles läuft und  der Ton war alles andere als  entspannend und freundlich sondern eher als genervt einzustufen der Mann hat doch eh keine Ahnung",d
"es ist äußerst nervig wenn man sich diese ewiges Gequatsche von der Maschine anhören muss um dann hinterher zu erfahren dass alles besetzt ist und man wieder und man noch mal anrufen soll das sollte am Anfang passieren bevor man sich das ganze Gequatsche anhören muss",a
"ist eine katastrophale  Behandlung hier gerade eben gewesen ich hab' eine Email bekommen um die   online Rechnung auszudrucken jetzt muss ich irgendein ein Usernamen und mein Passwort wieder eingeben das wusste ich jetzt nicht beziehungsweise haben die die mir bekannten Username und Passwörter irgendwie nicht funktioniert  die Rechnungsnummer hilft so bei der Eingabe zum Ausdrucken auch nicht außerdem hatte ich ein $P $D $F Dokument angefordert das bekomm' ich dann irgendwann vielleicht mal später obwohl ich das dringend für den Steuerberater benötige dann ruf' ich das Callcenter an und die haben einfach keine Zeit wo gibt’s denn so was das ist ein absolut unprofessionelles Vorgehen stattdessen red' ich zwei Minuten mit einem  Sprachcomputer der mich keinen Meter weiterbringt an dieser Stelle vielleicht lassen Sie sich ja was einfallen danke weiter Ende",1
"ist eine katastrophale  Behandlung hier gerade eben gewesen ich hab' eine Email bekommen um die   online Rechnung auszudrucken jetzt muss ich irgendein ein Usernamen und mein Passwort wieder eingeben das wusste ich jetzt nicht beziehungsweise haben die die mir bekannten Username und Passwörter irgendwie nicht funktioniert  die Rechnungsnummer hilft so bei der Eingabe zum Ausdrucken auch nicht außerdem hatte ich ein $P $D $F Dokument angefordert das bekomm' ich dann irgendwann vielleicht mal später obwohl ich das dringend für den Steuerberater benötige dann ruf' ich das Callcenter an und die haben einfach keine Zeit wo gibt’s denn so was das ist ein absolut unprofessionelles Vorgehen stattdessen red' ich zwei Minuten mit einem  Sprachcomputer der mich keinen Meter weiterbringt an dieser Stelle vielleicht lassen Sie sich ja was einfallen danke weiter Ende",4
"ist eine katastrophale  Behandlung hier gerade eben gewesen ich hab' eine Email bekommen um die   online Rechnung auszudrucken jetzt muss ich irgendein ein Usernamen und mein Passwort wieder eingeben das wusste ich jetzt nicht beziehungsweise haben die die mir bekannten Username und Passwörter irgendwie nicht funktioniert  die Rechnungsnummer hilft so bei der Eingabe zum Ausdrucken auch nicht außerdem hatte ich ein $P $D $F Dokument angefordert das bekomm' ich dann irgendwann vielleicht mal später obwohl ich das dringend für den Steuerberater benötige dann ruf' ich das Callcenter an und die haben einfach keine Zeit wo gibt’s denn so was das ist ein absolut unprofessionelles Vorgehen stattdessen red' ich zwei Minuten mit einem  Sprachcomputer der mich keinen Meter weiterbringt an dieser Stelle vielleicht lassen Sie sich ja was einfallen danke weiter Ende",a
"ich bin überhaupt nicht meinem Kundenberater durchgestellt wurden ich bin gleich durchgestellt worden zur Bewertung des Gespräches",a
"ich bin deswegen unzufrieden weil ich dreimal weiterverbunden worden bin und anschließend die Verbindung getrennt worden ist ohne dass irgendwie das Problem überhaupt angesprochen oder bearbeitet worden ist und ich muss jetzt auf der kostenpflichtigen Nummer schon wieder anrufen und da fallen natürlich schon wieder Gebühren an und hab' einfach die Befürchtung dass das schon wieder passiert von daher sehr unzufrieden",a
"ich finde es ganz furchtbar mit einer Computerstimme sprechen zu müssen das ist ist so unmenschlich das würd' ich gerne geändert haben bei Ihnen",0
"weiter",0
"ich bin noch nicht mal dazu gekommen mein   noch was zu sagen dann wurd' ich schon  zu diesen    da Sender weitergeleitet",c
"ich war  zufrieden mit der Dame mit der ich gesprochen habe was auffiel  war die Rede von  einem Glasfaser Kabel das hier in unserm Bereich nicht  eingebaut ist",1
"ich bin äußerst zufrieden  mit der Dame die mich beraten hat aber das Telefongespräch ist leider nicht weitergeleitet worden zu dem Umzugs   Wechsel ich muss meine Telefonnummer wegen Umzug wechseln und  das hat noch nicht geklappt deswegen bin ich immer noch am Apparat weil ich hoffe dass ich die zuständigen Kollegen von den Umzug bekomme aber die Beratung war äußerst gut",2
"das Gespräch kam nicht zustande ich wurde vorher abgewürgt",a
"jetzt weiter",0
"also diese Gespräch mit dieser Dame war vollkommen nutzlos hier ist man am Telekom wie ein Blöder so  unqualifiziert wie also diese Person ist wenn Sie diese entlassen haben Sie das Beste getan vielen Dank auf Wiederhören",d
"ich habe erst zehn Minuten gewartet dass es überhaupt der Telefonhörer abgenommen wurde um den Auftragsstatus zu recherchieren bin dann sofort eingehangen wurden nachdem ich angefangen hatte zu sprechen ich find' es eine Unverschämtheit und ich kann mir wirklich nicht vorstellen dass das Kundenverhalten von Telekom sich über all die Jahre nicht verändert hat Rückrufnummer [tel] es geht um die Bestellung eines Handy sie ich am allerliebsten jetzt schon wieder stornieren würde wenn ich sehe wie Sie tatsächlich wieder die Kunden behandeln [tel]",1
"ich habe erst zehn Minuten gewartet dass es überhaupt der Telefonhörer abgenommen wurde um den Auftragsstatus zu recherchieren bin dann sofort eingehangen wurden nachdem ich angefangen hatte zu sprechen ich find' es eine Unverschämtheit und ich kann mir wirklich nicht vorstellen dass das Kundenverhalten von Telekom sich über all die Jahre nicht verändert hat Rückrufnummer [tel] es geht um die Bestellung eines Handy sie ich am allerliebsten jetzt schon wieder stornieren würde wenn ich sehe wie Sie tatsächlich wieder die Kunden behandeln [tel]",a
"weiter",0
"weiter",0
"das Anliegen ist zunächst sehr sehr zurückhaltend und ein bisschen abweisend behandelt worden aber im Laufe des Gesprächs hat die Kollegin sich doch dann dem Anliegen sehr positiv angenommen vielen Dank weiter",1
"weiter",0
"das Gespräch war sehr angenehm und sehr zielgerichtet ich habe alles verstanden und ich denke wir haben alles  abwickeln können",1
"Ihr Servicemitarbeiter Herr  war nicht in der Lage mich mit einem Disponenten zu verbinden sondern hat einfach eine falsche Telefonnummer eingegeben",c
"weiter",0
"ja nein das Gespräch verlief absolut in Ordnung ich hab' der Dame dann auch gesagt dass nachdem ich mich gestern so wahnsinnig geärgert hab'  ich kam nicht durch ich wollt' mein Telefon ummelden und und kam immer Besetztzeichen nachdem Sie vermittelt hatte und also ich war verzweifelt ich ich hab' gedacht ich ich schaff' es nie und dann ja ja dann irgendwann nach acht oder neun Malen dann meldete sich wieder ein Mensch und dann konnt' ich weiterverbunden werden aber heute bin ich absolut zufrieden ja",1
"Gespräch sehr in Ordnung weiter bitte",0
"dass bei einem Anruf nicht so viel Information überschüttet werden und dann gesagt bekommen es ist alles besetzt ich soll später noch mal anrufen ich möcht' dann eine Warteschleife beziehungsweise möchte einfach durchkommen bei einer Business Service Line",a
"das alles immer sehr umständlich bei Ihnen und lange Wartezeiten und sonstiges",e
"das Gespräch wurde abgebrochen nicht zufrieden",a
"mangelhafte Kundenbetreuung an ein Kunden der schon seit vier Jahren von der Telekom getrennt ist und schicken immer noch Rechnungen für nichts gar nichts das ist Betrug an dem Bürger so was gehört sich nicht normalerweise wird so was mit Gefängnis bestraft",4
"weiter",0
"ich war mit dem Anruf jetzt soweit zufrieden nicht lange in der Warteschleife und so weiter ich hoff' dass das alles so was wir besprochen haben auch weiter gut funktioniert weiter",1
"es hat gar kein Beratungsgespräch stattgefunden es hat sich gleich wieder Euer Sprachcomputer gemeldet und das ist ziemlich bescheiden um es mal höflich zu sagen",a
"grundsächlich bin ich  mit dem Service zufrieden bloß was mir jetzt irgendwann im Sommer geschehen ist dass ich angerufen worden bin von irgendwelchen   Service Business irgendwelchen Fritzen das war ein bisschen unangenehm und  irgendwann hat dann der Kollege mir zugesichert ich krieg' ich erhalt' es kostenlos das  Surfen Paket  so hat mir das der eine Kollege dann wieder zurechtgebogen das war ein super Service aber dass zuvor der Kollege verspricht das umsonst wäre das war jetzt nicht so in Ordnung weil's im Nachhinein nicht eingehalten worden ist das wär's eigentlich",d
"Gesprächspartner war äußerst höflich und vor allen Dingen kompetent und hat sich bemüht meinen Wünschen  meine Wünsche umzusetzen danke",1
"einfach weiter",0
"das Gespräch war sehr zufriedenstellend  wenn das der Schaden so behoben ist wie ich  gesagt bekommen hab' ist das in Ordnung ist das okay",1
"ja  jetzt schon die dritte Störung innerhalb von vierzehn Tagen also ich bin so langsam richtig stinkefaul sauer also Euer Laden muss da mal irgendwo in Ordnung gebracht werden",3
"weiter weiter",0
"mein Berater war sehr höflich sehr akkurat sehr nett  sehr bemüht sehr verständnisvoll ja war gut richtig gut",0
"weiter",0
"weiter",0
"wes geht darum dass ich mit meinem Anliegen wofür ich nichts kann durch sämtliche Abteilungen geschickt werde und jeder hat  sagt mir was anderes und das kann nicht angehen ich bin so was von verunsichert und spiele mit dem Gedanken an den Vorstand  heranzutreten jeder hat eine andere Meinung zu dem man hat mir das Telefon abgestellt weil ein anderer Anbieter drin war den ich gar nicht gewollt habe und mein Internetanschluss ist weg ich kann damit nicht leben und das geht jetzt schon fast eine Woche und jeder tröstet mich mit was anderem",1
"wes geht darum dass ich mit meinem Anliegen wofür ich nichts kann durch sämtliche Abteilungen geschickt werde und jeder hat  sagt mir was anderes und das kann nicht angehen ich bin so was von verunsichert und spiele mit dem Gedanken an den Vorstand  heranzutreten jeder hat eine andere Meinung zu dem man hat mir das Telefon abgestellt weil ein anderer Anbieter drin war den ich gar nicht gewollt habe und mein Internetanschluss ist weg ich kann damit nicht leben und das geht jetzt schon fast eine Woche und jeder tröstet mich mit was anderem",d
"sehr kompetenter Gesprächspartner sehr freundlich Problem ist nicht gelöst wurd' auf nächsten Monat verschoben aber ist okay danke",1
"ich erhielt eine perfekte Beratung technisch äußert kompetent und umfassend zu meiner vollsten Zufriedenheit",1
"ich bin froh dass ich endlich mal mit einer richtigen kompetenten Mitarbeiterin sprechen konnte schönen Dank",0
"weiter",0
"weiter",0
"ja es geht um meine Telefonrechnung das geht jetzt schon drei Monate und keiner hat mir bisher geholfen  da werden falsche Nummern berechnet",4
"zufrieden weiter",0
"Durchwahl erfolgte prompt Beratung äußerst zufriedenstellend Problem gelöst",1
"also ich habe mit der Frau  von Ihnen gesprochen und  mit Gespräch war ich sehr zufrieden es war alles in Ordnung gut erläutert also nichts einzuwenden weiter",1
"ja der Service war äußerst unzufrieden bei einem Konzern wie der Telekom nicht würdig nur Kontakt mit Mitarbeitern die eingeschränkte Möglichkeiten haben  Konzern in der Größenordnung Telekom nicht in der Lage ad hoc Hilfestellung zu leisten bei  die die mal außer der Norm laufen äußerst äußerst unzufrieden und sehr sehr ärgerlich",1
"grundsätzlich zufrieden jedoch  diese automatische Annahme der Störung oder der Mitteilung hat zu lang gedauert  das war's",3
"weiter",0
"und das bin ich verdammt lange alle weiteren Angebote  Ihres Hauses kann ich momentan nur als Katastrophe betrachten nehmen Sie die Person mit der ich diesen Anruf geführt habe ausdrücklich aus dieser Katastrophe aus",0
"ja mit diesem  Telefonat bin ich zufrieden sehr zufrieden  ich hab' aber  mit dem letzten Telefon meine Schwierigkeiten gehabt weil ich  mein  Anliegen  was ich jetzt auch noch mal geschildert hab' nicht ausreichend   vom Service her erledigt worden ist  und zwar wollt' ich eine eine DSL sechzehn tausend  Leitung freigeschaltet bekommen haben das ist auch  telefonisch beim letzten Mal geklärt worden aber  nach dem  letzten Gespräch ist das einfach nicht hin  gemacht worden ich hoffe dass das jetzt bei diesem Gespräch geklärt worden ist und war aber schon ein wenig verwundert dass  dass nach dem letzten Gespräch  nichts in die Wege geleitet worden ist",1
"ja ich bin sehr gut beraten worden und das war sehr  sehr hilfreich",1
"ich war überhaupt nicht zufrieden ich wurde in die Warteschleife gelegt und hab' bisher keine Antwort bekommen das ist absolut kein Service",a
"der Service war sehr gut der Kollege hat mich umfassend informiert und hat mir auch im Grunde einen Gefallen getan ich hab' also kein Grund zu meckern im Gegenteil das war sehr in Ordnung danke",1
"guten Tag hier ist  die Frau  die mir grad eben Auskunft erteilt hat von Ihrer Telefon  Auskunft Zentrale die war nicht nur nett die war sehr nett die hat mir alle Fragen ausgiebig beantwortet und zwar hab' ich  wollt' ich wissen  über die null neun hunderter Nummer wie teuer die ist und so weiter ich bin also sehr zufrieden mit der Auskunft von dieser Frau   und  kann die Deutsche Telekom nur weiterempfehlen",1
"ich find's unmöglich dass wenn man Hilfe erwartet einfach aus der Leitung geschmissen wird und diese blöden Fragen hier beantworten soll",a
"weiter",0
"ich hatte das Gefühl dass das Computersystem so ein bisschen kompliziert war an einigen Stellen sagen wir mal so dass das ein bisschen unflexibel an gewissen Punkten war dass die Mitarbeiter immer gezwungen sind dann alles dann vor vorne dann noch mal durchzugehen weil ich vorher auch mit anderen Mitarbeitern schon gesprochen hatt' und das Gespräch eigentlich nur unterbrochen hatte sozusagen und das war ein bisschen schade dass an gewissen Stellen um zum Beispiel dann wieder zu sehen ob der Techniker zum Beispiel kommen muss  dass man dann von vorne noch mal alles machen muss obwohl eigentlich die Daten schon bekannt sind",3
"weiter bitte",0
"ich war mir dem Kundengespräch mit der  Kollegin gerade sehr zufrieden also es ist einwandfrei gelaufen bitte weiter",0
"ich war äußerst zufrieden",0
"weiter",0
"weiter",0
"ja mir fehlen die Worte ich find's im Prinzip absolut unmöglich als Kunde  eine Beratung zu bekommen  die  mangels Mitarbeitern die alle beschäftigt sind nicht erfolgen kann und dann führen Sie eine  Befragung durch das ist ist  eigentlich untragbar",a
"weiter  weiter",0
"weiter",0
"der Kundenberater war sehr höflich zuvorkommend und hat einfach alle meine Anliegen bearbeitet und Fragen beantwortet weiter",1
"weiter",0
"ich bin bis jetzt sehr zufrieden und ich hoffe dass das so bleibt Dankeschön  ja weiter",0
"weiter",0
"weiter",0
"weiter",0
"weiter",0
"das Gespräch war  ganz in Ordnung ich habe  die Auskunft die ich  haben wollte  vollständig  bekommen bin weitergeleitet worden an eine andere Telefonnummer über die ich  die Einzelfragen klären kann danke",1
"ich habe gerade  mehrere Minuten in der Warteschleife verbracht um dann die Ansage zu kriegen dass ich gerade nicht verbunden werden kann und deswegen doch später wieder anrufen soll was bei einer kostenpflichtigen Hotline ja nun  doch eher enttäuschend ist",a
"leider konnte mein Anliegen nicht geklärt werden da der Mitarbeiter mich einfach in die Warteschleife gesetzt und somit das  Gespräch beendet hat",b
"der Kollege hat den Anruf entgegengenommen  hat mir zugesagt das zu bearbeiten und mich auch wieder persönlich anzusprechen find' ich in Ordnung danke",1
"weiter",0
"es fand' überhaupt kein Gespräch statt ich versuche seit drei Tagen Ihre Servicehotline anzurufen ich werde entweder abgewimmelt oder es findet gar keine Weiterleitung statt",a
"es fand' überhaupt kein Gespräch statt ich versuche seit drei Tagen Ihre Servicehotline anzurufen ich werde entweder abgewimmelt oder es findet gar keine Weiterleitung statt",d
"leider wurde sofort wieder aufgelegt als ich angerufen habe und es hat leider gar kein Gespräch stattgefunden",a
"Ihre Damen sind sehr nett am Telefon aber sie können einem nie helfen nein bei mir ist die Rechnung falsch und keine Hilfe okay weiter",4
"eine Frage",0
"mein Gespräch mit Herrn  war  sehr zufriedenstellend er konnte meine Frage hundert prozentig beantworten und ich weiß jetzt Bescheid  weiter",1
"weiter",0
"weiter",0
"die Frau  war äußerst freundlich  zuvorkommend  man konnte gut mit ihr reden sie hat sich sofort für einen eingesetzt einfach spitze",0
"Kundenberater war nicht zu erreichen",a
"was mir jetzt hier geboten wird von der Telekom ist nicht auszudrücken Schweinerei ist zu gering ausgedrückt mein Umzug hab' ich angemeldet am sieben und zwanzigsten November Umschluss wurde zugesagt  den vierten Dezember kam niemand nachgefasst wurde zugesagt Mittwoch heute kommt niemand ich frage nach dann heißt es kommenden Mittwoch nächste Woche bin geschäftlich auf den Anschluss angewiesen ich kann nicht ohne den DSL Anschluss leben ich brauch' das Internet und Sie können doch nicht mich drei Wochen einen Anschluss nicht machen das ist katastrophal eine absolute Katastrophe ich überleg' mir ob ich Schadensersatzklage erheben muss ich bin entsetzt über das was sich die Telekom erlaubt glauben Sie ich bleib' Kunde",d
"was mir jetzt hier geboten wird von der Telekom ist nicht auszudrücken Schweinerei ist zu gering ausgedrückt mein Umzug hab' ich angemeldet am sieben und zwanzigsten November Umschluss wurde zugesagt  den vierten Dezember kam niemand nachgefasst wurde zugesagt Mittwoch heute kommt niemand ich frage nach dann heißt es kommenden Mittwoch nächste Woche bin geschäftlich auf den Anschluss angewiesen ich kann nicht ohne den DSL Anschluss leben ich brauch' das Internet und Sie können doch nicht mich drei Wochen einen Anschluss nicht machen das ist katastrophal eine absolute Katastrophe ich überleg' mir ob ich Schadensersatzklage erheben muss ich bin entsetzt über das was sich die Telekom erlaubt glauben Sie ich bleib' Kunde",2
"ich habe jetzt dreimal angerufen zweimal davon ist die Verbindung zusammengebrochen und   mit dem Versuch das gleiche Problem heute morgen zu lösen wurde  mir  ebenfalls zweimal keine genügende Antwort gegeben dass ich  wie ich mit meinem Mac PC  meine Internetverbindung konfigurieren kann  abgesehen davon dass zweimal der Code schon  zu spät  oder beziehungsweise sich von selbst aufgelöst hat dass ich überhaupt Internet lösen kann  möchte ich nun halt den neuen Code für die Internetnutzung eingeben  und bin bin von daher über die Vorgehensweise und den Informationsstände und die Art der Kommunikation sehr unzufrieden",d
"ich habe jetzt dreimal angerufen zweimal davon ist die Verbindung zusammengebrochen und   mit dem Versuch das gleiche Problem heute morgen zu lösen wurde  mir  ebenfalls zweimal keine genügende Antwort gegeben dass ich  wie ich mit meinem Mac PC  meine Internetverbindung konfigurieren kann  abgesehen davon dass zweimal der Code schon  zu spät  oder beziehungsweise sich von selbst aufgelöst hat dass ich überhaupt Internet lösen kann  möchte ich nun halt den neuen Code für die Internetnutzung eingeben  und bin bin von daher über die Vorgehensweise und den Informationsstände und die Art der Kommunikation sehr unzufrieden",b
"ich habe jetzt dreimal angerufen zweimal davon ist die Verbindung zusammengebrochen und   mit dem Versuch das gleiche Problem heute morgen zu lösen wurde  mir  ebenfalls zweimal keine genügende Antwort gegeben dass ich  wie ich mit meinem Mac PC  meine Internetverbindung konfigurieren kann  abgesehen davon dass zweimal der Code schon  zu spät  oder beziehungsweise sich von selbst aufgelöst hat dass ich überhaupt Internet lösen kann  möchte ich nun halt den neuen Code für die Internetnutzung eingeben  und bin bin von daher über die Vorgehensweise und den Informationsstände und die Art der Kommunikation sehr unzufrieden",1
"ja sehr nett der Herr vom Kundencenter  hat mir auch  weitergeholfen ja alles in Allem sehr nett und kann man empfehlen nicht",0
"weiter",0
"ja schlechte Qualität im Service  ist der Grund dass  der  Grund  zu lange in der Hotline in der Warteschleife Entschuldigung",d
"ja schlechte Qualität im Service  ist der Grund dass  der  Grund  zu lange in der Hotline in der Warteschleife Entschuldigung",e
"ich warte seit über acht Minuten auf einen Gesprächspartner das ist sehr schlecht",e
"ich warte seit über acht Minuten auf einen Gesprächspartner das ist sehr schlecht",a
"weiter",0
"also die Frau  hat mich gut beraten und sie hat mir versprochen dass die Rechnung   wieder zurückwiesen wäre auf mein Konto Dankeschön",4
"die Dame soeben am Apparat war äußerst höflich sehr hilfsbereit war wirklich zufrieden mit dem Gespräch",0
"ich bin  zu wiederholten Male aus einem Gespräch rausgeflogen ohne dass ich die  tatsächlich mein Anliegen  klären konnte und  und das ist ein unzumutbarer Zustand find' ich also man sollte die ganze Telefon Geschichte hier  und Callcenter Geschichte etwas sorgfältiger aufgleisen und den und  es ist unmöglich dass man einfach aus dem Telefongespräch  rausgeworfen wird",b
"ja ich bin einfach aus der Leitung geschmissen worden",a
"die Beratung war kompetent und freundlich weiter",1
"äußerst äußerst zufrieden",0
"das ist nett dass Ihr Kollege nun es geschafft hat innerhalb dieser Gesprächszeit die ich mit ihm gehabt habe nicht einmal einen auf Wiedersehen oder sonstiges zu sagen sondern einfach das Gespräch andererseits beenden um mich so in diese Bewertungs Schleife hier hineinzusetzen",d
"das Gespräch lief wie immer sehr freundlich  und mir wurde geholfen die Probleme die ich hatte konnten gelöst werden",1
"diese Kundengespräch hat nicht stattgefunden Sie haben mich einfach weiter zu die jetzigen Befragung hin also ich bin also sehr sehr unzufrieden weil man sehr sehr lange wartet und  überhaupt keine kompetente Auskunft bekommt",a
"diese Kundengespräch hat nicht stattgefunden Sie haben mich einfach weiter zu die jetzigen Befragung hin also ich bin also sehr sehr unzufrieden weil man sehr sehr lange wartet und  überhaupt keine kompetente Auskunft bekommt",e
"ich bin unzufrieden weil es nicht gelingt bei Ihnen anzukommen weiter",a
"das war ganz war eine ganz tolle Kollegin die das gemacht hat sie hat mich ganz toll beraten war super",1
"ich fand' das Kundengespräch sehr gut und das jedes Mal mir wurde sehr gut geholfen und alles sehr gut erklärt obwohl ich da gar nichts verstehe und das gefällt ich sehr gut und außerdem haben alle Mitarbeiter bis jetzt sehr viel Geduld gezeigt",0
"weiter weiter",0
"als Mitarbeiter besteht nicht mal die Möglichkeit im T-Punkt sein Anliegen vorzubringen es wäre günstig wenn das noch die Möglichkeit wäre",d
"es ging um das Outlook der [fa] in  [ort] dass wir von der Kapazität her erweitern wollten allerdings  rief ich  anscheinend eine falsche Telefonnummer an und wurde dann von einem Kollegen  weiterverbunden und  die Dame die ich danach dran hatte sie sagte dass ich beim Privatkunden Bereich bin wofür ich ja leider nichts für kann ich sie gebeten habe mir  mich durchzustellen zum Business Bereich und  sie mir dann sagte ich wäre es  selber Schuld da keinen Support  bekommen zu können weil ich Business Kunde bin da hab' ich  sie gefragt  was denn mit dem Kollegen ist denn ihm hatte ich ja schon die Kundennummer durchgegeben diesbezüglich hat er ja  dann auch  im Kontakt sehen können dass wir Business Kunden sind hat mich leider nicht darauf aufmerksam gemacht und daraufhin hat die Dame einfach aufgelegt",d
