"1256192887354.txt";"TRANSCRIPTION: Sie war nicht groß gewillt mir zu helfen
";"d";;;;;"Häufigkeit absolut";"Kategorie";"Häufigkeit relativ (%)"
"1256297618992.txt";"TRANSCRIPTION: die ganze Bearbeitung des Auftrags unter der Kundennummer [kundennr] ist sehr sehr *bescheiden*
";0;;;;;;;
"1256298219283.txt";"TRANSCRIPTION: ich warte seit @hes@ zehn Minuten na sagen wir mal fünf bis zehn Minuten darauf dass ich mit dem Servicetechniker verbunden werde stattdessen werd' ich in eine ach Kundenbefragungs Schleife geleitet sehr schlecht
";"e";"c";;;;;;
"1256298459519.txt";"TRANSCRIPTION: schriftlich wurde um Bestätigung eines Rücktrittes gebeten angekommen ist von Ihnen eine Auftragsbestätigung diese Formulierung ist äußerst unglücklich gewählt für jemanden der nicht tagtäglich Rechnungen und Schreiben durchliest
";1;;;;;;;
"1256298459744.txt";"TRANSCRIPTION: ich rufe jetzt zum dritten Mal an und bin immer noch nicht zu einem Mitarbeiter durchgestellt worden
";"a";;;;;;;
"1256298579833.txt";"TRANSCRIPTION: ich hab' eine Nachfrage gestellt bezüglich eines Betrags was mir von der T-Com abgebucht von T-Mobile Deutschland halt abgebucht wurde das waren neun Euro sechs *und* sechzig die Dame am Telefon konnte mir hierüber keine Auskunft geben und war auch nicht bereit mich eben weiter zu binden an Ihren Vorgesetzten um eben diese Frage weiterhin klären zu können weiter
";4;;;;;;;
"1256298580052.txt";"TRANSCRIPTION: [breath] ja ich bin Mitten im Gespräch aus der Leitung geflogen ich hab' gar keine Auskunft bekommen
";"b";;;;;;;
"1256298580810.txt";"TRANSCRIPTION: ich sollte weitervermittelt werden aber entweder wurd' ich nicht weitervermittelt oder wurde dort wo ich weitervermittelt [fragment] @hes@ hinvermittelt wurde gleich weggedrückt zumindest bin ich gleich hier bei der Nachfrage gelandet
";"a";;;;;;;
"1256298580857.txt";"TRANSCRIPTION: ich sollte verbunden werden und bin jetzt bei *einer* Umfrage ich möchte verbunden werden
";"a";;;;;;;
"1256298700946.txt";"TRANSCRIPTION: ((konkreter)) *Saftladen* wie *Euern* *Laden* hab' *ich* noch nicht erlebt wir machen das Problem jetzt seit drei vier Monate rum und Ihr habt das immer noch nicht geklärt mit der Rechnungsstelle und jede Mal *heißt's* werd' *ich* *vertröst'* und *nicht* (()) bei mir's Telefon ab obwohl der Fehler bei Euch im im Umzug war @hes@ (()) Saftladen ich werde das Ganze in der Bildzeitung weiterleiten der ganze Vorfall und jetzt weiter
";4;2;;;;;;
"1256298821167.txt";"TRANSCRIPTION: Sie haben das Beratungsgespräch unterbrochen
";"b";;;;;;;
"1256298941423.txt";"TRANSCRIPTION: ich hab' [fragment] hab' kein Gespräch geführt ich hab' keine Verbindung *gekriegt* Sie haben mich nicht verbunden [pause] bei mir war immer Belegtzeichen da *das* komm' mal [vocal]
";"a";;;;;;;
"1256299061685.txt";"TRANSCRIPTION: lange Wartezeiten mehrmaliges Anrufen weil immer wieder besetzt war weiterleiten immer nur mit *einer* mechanischen Stimme sprechen nie mit einem persönlich dauert Ewigkeiten bis man da mal verbunden wird dann teilweise inkompetent am andern Ende @hes@ sowie bei Handy als auch bei Festnetz bei $G Home genauso @hes@ wir hatten Videoaufnahmen die wurden komplett gelöscht durch [fragment] @hes@ inkompetente Beratung Ihrerseits *ja* kann ich vieles noch weiter aufzählen jetzt mal weiter
";"e";"d";;;;;;
"1256299421902.txt";"TRANSCRIPTION: ich kann es überhaupt nicht nachvollziehen dass nach einem Jahr mein Endgerät immer noch nicht bei T-Mobile auffindbar ist
";1;;;;;;;
"1256300502189.txt";"TRANSCRIPTION: die Mitarbeiterin war so unfreundlich und hat einfach aufgelegt die Beratung das war jetzt unter aller Sau
";"b";;;;;;;
"1256300742399.txt";"TRANSCRIPTION: Gespräch wurde abgebrochen beziehungsweise beendet einfach
";"b";;;;;;;
"1256300742609.txt";"TRANSCRIPTION: eine [fragment] ich hatte eine einfache Frage und bekam nicht die entsprechende Antwort dazu und auch mit einer sehr Arroganz deswegen war es besser das Gespräch anzubrechen von meiner Seite
";"d";;;;;;;
"1256300743392.txt";"TRANSCRIPTION: Beratung
";0;;;;;;;
"1256300863451.txt";"TRANSCRIPTION: ja ich hab' überhaupt kein Gespräch geführt weil sich kein Kundenberater gemeldet hat insofern kann ich natürlich nicht zufrieden sein weiter
";"a";;;;;;;
"1256300983691.txt";"TRANSCRIPTION: es klappt überhaupt gar nichts wir bekommen hier unseren Router nicht @hes@ zugeschickt am acht und zwanzigsten kommt *ein* Techniker und @hes@ der kann jetzt hier gar nichts anbringen weil der Router immer noch nicht da ist und jetzt wurd' ich einfach aus der Leitung geschmissen und die [vocal] Mitarbeiter melden sich sich melden sich nicht obwohl sie's versprechen
";1;"b";"d";;;;;
"1256300984615.txt";"TRANSCRIPTION: es redet ja niemand mit mir
";"a";;;;;;;
"1256301344688.txt";"TRANSCRIPTION: wir werden wieder auf @hes@ @hes@ um Geduld gebeten dass die @hes@ dass die Migration noch nicht abgeschlossen wird damit sind wir sehr unzufrieden
";1;;;;;;;
"1256301464958.txt";"TRANSCRIPTION: die Kollegen habe mir auf meine Antwort nicht geantwortet haben Sie einfach mich weggedrückt und das find' ich ganz schlecht ich habe jetzt viermal anrufen und @hes@ keine *vernünftige* Antwort [pause] und das ist ganz schlecht für die Kunden
";"b";;;;;;;
"1256301706024.txt";"TRANSCRIPTION: ich wollte weiterverbunden werden mit @hes@ um einen Termin auszumachen damit ein Techniker bei mir vorbeikommt weil ich eine Störung mit dem Telefon hab' und Telefon nicht geht und @hes@ bin aber anscheinend aus der Leitung rausgefallen und @hes@ muss jetzt den Fragebogen *beantworten* ich bin ziemlich genervt ich bin sogar so genervt dass ich mir überlege ob ich das Ganz cancel' en ganzen Anschluss und mit *einem* andern [fragment] @hes@ Anbieter mich jetzt @hes@ vertraglich binde
";3;;;;;;;
"1256301706277.txt";"TRANSCRIPTION: alles weil ich schon wegen [fragment] einer Sache tausendmal angerufen hab' und noch nicht ein Stück weitergekommen bin
";0;;;;;;;
"1256301946323.txt";"TRANSCRIPTION: das Gespräch war noch nicht beendet und wurde beendet
";"b";;;;;;;
"1256302187275.txt";"TRANSCRIPTION: ich habe mich gewünscht dass @hes@ jemand aus dem Grund warum ich angerufen haben mit mir spricht aber ich bin mit niemand verbunden worden also keiner kann ich nicht zufrieden sein mein Anliegen ist nicht erledigt ja sonst [fragment] @hes@ fragen Sie nur ob ich zufrieden bin mit mehr hab' ich nicht mitgekriegt das war's ja also bin ich nicht zufrieden danke mehr brauch' ich nicht dazu zu sagen ich würd' gern mit einer Rechnung Mitarbeiter verbunden werden danke
";"a";4;;;;;;
"1256302547548.txt";"TRANSCRIPTION: ich habe noch immer kein Internet wieso oft
";1;;;;;;;
"1256302548589.txt";"TRANSCRIPTION: damit aus den @hes@ Anruf wo ich mit den Service sprechen wollte gar nicht verbunden worden bin und ich [fragment] zum späteren Zeitpunkt anrufen und man versucht das mehrmals am Tag Dankeschön
";"a";;;;;;;
"1256302908677.txt";"TRANSCRIPTION: mir gefällt nicht wenn ich mit jemanden rede der dauernd dazwischen quatscht wenn ich was erkläre ich möcht' mal jetzt endlich jemand haben der für diesen Schaden jetzt zuständig ist den die Firma [fa] gemeldet hat [pause] bin sehr erbost
";"d";;;;;;;
"1256303509008.txt";"TRANSCRIPTION: ja Konto *Abbuchungen* @hes@ nicht definierbar und keine Information
";4;;;;;;;
"1256304109246.txt";"TRANSCRIPTION: das Gespräch wurde einfach unterbrochen obwohl wir noch nicht fertig waren
";"b";;;;;;;
"1256304109533.txt";"TRANSCRIPTION: unzufrieden *ist* noch gar kein bodenlos ist das was bei Euch abgeht in *dem* Callcenter ist nie irgendjemand für irgendwas zuständig es ist keiner an irgendwas schuld und das kann's doch echt nicht sein
";0;;;;;;;
"1256304469578.txt";"TRANSCRIPTION: [fragment] mir mich zu verbinden mit ein Kollegen das wurde nicht getan
";"c";;;;;;;
"1256305189837.txt";"TRANSCRIPTION: war mit dem [fragment] ich war mit dem Gespräch noch nicht fertig ich möchte den Kundenbetreuer wieder
";"b";;;;;;;
"1256305190074.txt";"TRANSCRIPTION: es erfolgte keine Klärung des Problems und das schon zum vierten mal
";0;;;;;;;
"1256305310119.txt";"TRANSCRIPTION: weiter
";0;;;;;;;
"1256305430359.txt";"TRANSCRIPTION: Kundenservice
";0;;;;;;;
"1256305430585.txt";"TRANSCRIPTION: weiter [pause] weiter [vocal] [garbage]
";0;;;;;;;
"1256305790686.txt";"TRANSCRIPTION: ich habe circa [fragment] [fragment] fünf bis [fragment] zehn Minuten gewartet bin dreimal verbunden worden und dann wurde mir gesagt dass @hes@ ich ((zum)) späteren Zeitpunkt wieder anrufen soll das ist mangelhaft ich hab' *eine* ganz einfache Frage bin auch bereit die zu bezahlen ich möchte einfach nur wissen wie ich meine Emails ordnen und sortieren kann und ich habe doch keinen gefunden der [fragment] einmal eine Auskunft geben kann die mich irgendwie in einer Weise weiter nach vorne bringt ich bin sehr unzufrieden mit meinem Wechsel zur Telekom
";"e";"d";1;;;;;
"1256306270969.txt";"TRANSCRIPTION: Hörer wurde aufgelegt der Hörer wurde aufgelegt
";"b";;;;;;;
"1256307591271.txt";"TRANSCRIPTION: ich bin aus der Leitung rausgeschmissen worden mit Ihrem [fragment] Kundenberater und [vocal] da bin ich sauer @hes@ [vocal] ich *muss pausenlos auf *irgendeinen* Automat sprechen und dann bin ich rausgeschmissen worden obwohl ich *ihn* dran gehabt hab' also *es* es ist einfach blöd danke
";"b";;;;;;;
"1256307832188.txt";"TRANSCRIPTION: sie mich [fragment] wie so ziemlich alle Anrufe bei der Telekom *wahrscheinlich* keine besonders kompetenten Kameraden an *der* Leitung zu haben mir wird seit zwei Monaten nicht geholfen ich bin nur noch unzufrieden
";"d";;;;;;;
"1256309152540.txt";"TRANSCRIPTION: [fragment] [fragment] wir haben seit über vier Wochen keine Telefonier Möglichkeit der Anschluss ist seit mehr als vier Wochen gestört
";3;;;;;;;
"1256309272767.txt";"TRANSCRIPTION: keine Änderung meines Problems keine Lösungsmöglichkeiten kundenorientiert nur @hes@ zweckorientiert Zwecks Provision danke
";0;;;;;;;
"1256309272987.txt";"TRANSCRIPTION: es wurde keine Lösung für das Problem gefunden
";0;;;;;;;
"1256309633817.txt";"TRANSCRIPTION: ich find' auf Ihrer Internetseite die Adresse des Telekom Shops [str] [hausnr] in [ort] die dazugehörige Telefonnummer [tel] verbindet mich nicht mit dem wie versprochen oder zumindestens für den Laien erkennbaren Shop ich kann über die Produkt Verfügbarkeit eines Produktes im Shop nichts erfahren das habe ich nun @hes@ [fragment] und mit langen Hin und Her und Ihren nervigen Telefon Computer @hes@ im @hes@ erfahren von Ihrem Menschen dass diese Telefonnummer da gar nicht steht sie steht aber im Internet toll und mein Produkt weiß ich immer noch nicht ob das verfügbar ist oder nicht ich soll hinfahren um zu ((prüfen)) ob ein Produkt verfügbar ist *also* das ist wohl nicht mehr der Stand der Technik schließlich gibt es Telefone oder Internet und übers Internet würd' ich auch gerne wissen wie *ich* [fragment] @hes@ verfahren kann um zu erfahren ob ein Produkt im einem Ihrem Telekom Shop verfügbar ist Schluss
";1;;;;;;;
"1256309634034.txt";"TRANSCRIPTION: Sie haben ein sehr unfreundliches Personal Sie hatten einfach aufgehängt
";"d";"b";;;;;;
"1256309634084.txt";"TRANSCRIPTION: ich hab' überhaupt keine Beratung erhalten
";"a";;;;;;;
"1256309994129.txt";"TRANSCRIPTION: wurde noch nicht verbunden
";"a";;;;;;;
"1256310114385.txt";"TRANSCRIPTION: die Rechnungsstellung meines Vertrages von neun und dreißig noch mal was @hes@ wurde mir nicht bestätigt sondern ich hätte dazu [fragment] zusätzlich so @hes@ @hes@ noch mehrere Optionen abgeschlossen was aber nicht der Fall *ist* ich hatte den Vertrag um neun und dreißig abgeschlossen und jetzt sind da irgendwelche anderen Optionen und kommen dadurch viel viel höher im End Betrag weil die Mehrwertsteuer jedes Mal noch extra draufgerechnet wird obwohl die bei Endverbraucher Preise eigentlich drin sein müsste
";1;;;;;;;
"1256310594649.txt";"TRANSCRIPTION: ja und zwar hab' ich Internet bestellt und warte schon seit mindestens zwanzig Tagen drauf und jeder @hes@ wimmelt mich hier ab und sagt er ruft zurück und im Endeffekt passiert doch nichts und ich wart' immer noch und vom Kunden [fragment] @hes@ Kundenservice direkt ((vertonen)) es sehr unzufrieden also total unhöflich spricht ins Wort ja
";1;"d";;;;;;
"1256310834909.txt";"TRANSCRIPTION: weil mir niemand @hes@ meinen alten Tarif *erklären* konnte und ich erst extra hinschreiben musste [fragment] per Email Kontakt aufnehmen musste um zu klären @hes@ wie genau der alte Tarif abgerechnet wurde
";1;;;;;;;
"1256310955134.txt";"TRANSCRIPTION: ja er ist Ausländer *weil* ich bin rechtsradikal und hab' ihn kein Wort verstanden und meine ganzen Nazis und Juden und so die sitzen neben mir und ja na ja schön *guten* Abend noch und *ja* reingehauen *wahr* [garbage]
";0;;;;;;;
"1256311435376.txt";"TRANSCRIPTION: ja ich ich hab' keine Frage @hes@ Antwort bekommen
";0;;;;;;;
"1256312395604.txt";"TRANSCRIPTION: weiter
";0;;;;;;;
"1256312515817.txt";"TRANSCRIPTION: ist abgebrochen worden [pause] ich bin aus der Leitung geschmissen
";"b";;;;;;;
"1256312516024.txt";"TRANSCRIPTION: der Fehler [fragment] der Fehler ist nicht behoben worden ich würd' gern mit der Dame wieder sprechen
";"b";;;;;;;
"1256312876103.txt";"TRANSCRIPTION: ich habe keine richtige Antwort auf meine Frage bekommen dahingehend was ich @hes@ mache um all meine Telefon und beziehungsweise Rechnungsadresse zu ändern mir wurde nicht geholfen und ich bin sehr unhöflich verbal behandelt worden
";1;"d";;;;;;
"1256312996311.txt";"TRANSCRIPTION: ich wollt' jetzt keine Wertung abgeben ich wollte nur weiterverbunden werden
";"c";;;;;;;
"1256313356558.txt";"TRANSCRIPTION: guten Tag ja ich hab' eben angerufen und hatte eigentlich dem Herrn gesagt dass ich gern eine andere Rufnummer hätte hab' meine Handynummer noch mal angeben müssen und dann noch die Kartennummer [breath] und danach hab' ich circa fünf [fragment] hat der gesagt ein Moment bitte dann ging Musik an und dann hab' ich circa fünf Minuten in der Warteschleife gehangen und jetzt ist die Abfrage angegangen was soll ich dazu sagen ja Ende
";1;"c";;;;;;
"1256313476819.txt";"TRANSCRIPTION: ich bin mit niemanden verbunden worden ich hatte kein [fragment] Beratungsgespräch das zweite Mal schon nicht
";"a";;;;;;;
"1256313957751.txt";"TRANSCRIPTION: zum einen sind die Kundenberater verdammt unfreundlich und zum anderen können Sie einen überhaupt nicht helfen egal was man fragt verbinden Sie immer nur weiter anstatt einem irgendwelche Ratschläge zu geben wie man vielleicht das Problem lösen könnte weiterverbunden weiterverbunden weiterverbunden kann ich langsam nicht mehr hören
";"d";;;;;;;
"1256313958049.txt";"TRANSCRIPTION: der Callcenter Mitarbeiter von Ihnen konnte @hes@ nicht beantworten wann der Anschluss wirklich geschaltet wird von Frau [vorn] [nachn] in [ort] das Problem ist dass die Frau jetzt schon die zweite Einrichtungs Mitteilung bekommt wo draufsteht sie sollte sich zu *einer* bestimmten Zeit zu Hause bereithalten die Techniker von der Telekom würden kommen und *ja* beim ersten Termin kamen sie nicht und zum zweiten Termin werden sie jetzt auch nicht einhalten wurde wurde mir gerade gesagt und so kann's doch nun nicht sein also dann muss man ja wenigstens vorher mal anrufen das ist das Problem also die Leute werden nicht informiert wenn wenn die Telekom nicht in der Lage ist @hes@ den Anschluss [fragment] zeitgemäß zu schalten
";1;;;;;;;
"1256314078123.txt";"TRANSCRIPTION: Gespräch war [fragment] das Gespräch war leider noch nicht beendet und es kam schon diese Umfrage
";"b";;;;;;;
"1256314078364.txt";"TRANSCRIPTION: keine Kompetenz
";"d";;;;;;;
"1256314318409.txt";"TRANSCRIPTION: ich war [fragment] ich war in der Warteschleife sollte warten darauf dass [fragment] dass man etwas nachguckt ob irgendwas funktioniert und dann dann auf einmal kommen Sie und sagen das Gespräch ist zu Ende und ich war noch gar nicht zu Ende
";"b";;;;;;;
"1256314438641.txt";"TRANSCRIPTION: die Freundlichkeit des Mitarbeiters und die Kompetenz
";"d";;;;;;;
"1256314678851.txt";"TRANSCRIPTION: es hat mir keiner Auskunft geben können und ich bin einfach abgewürgt worden man hat einfach das Gespräch beendet ohne mit mir zu reden
";"a";;;;;;;
"1256315639164.txt";"TRANSCRIPTION: Ihr Mitarbeiter hat mich einfach weitergedrückt beziehungsweise in die Warteschleife gelegt
";"b";;;;;;;
"1256316839463.txt";"TRANSCRIPTION: wenn ich einen *Vertrag* kündige und ich habe hier eine Bestätigung *dass* die Kündigung angenommen wird dann kann man mir anschließend doch nicht noch *eine* Rechnung schicken *das* ist *ein* Unding und das lass' so auch nicht auf mich sitzen [pause] Ende
";1;4;;;;;;
"1256317079678.txt";"TRANSCRIPTION: [fragment] [fragment] die langen Wartezeiten in Ihrer Warteschleife ist *unmöglich*
";"e";;;;;;;
"1256317679919.txt";"TRANSCRIPTION: @hes@ was ich mir nicht gewünscht habe ist dass einer Ihrer Mitarbeiter @hes@ einfach auflegt wenn ich ein Kundenwunsch habe das sollte die Telekom nicht tun
";"b";;;;;;;
"1256318160240.txt";"TRANSCRIPTION: immer diese Störung und die Leitung funktioniert nicht eine Woche keine Internet und @hes@ nächste Woche keine Telefon und kein Internet ich versteh' die Telekom gar nicht mehr
";3;;;;;;;
"1256318640474.txt";"TRANSCRIPTION: es hat kein [fragment] Gespräch stattgefunden da ich nach *fünfzehn* Minuten automatisch zur Bewertung weitergeleitet wurde
";"e";"a";;;;;;
"1256319120714.txt";"TRANSCRIPTION: die Beraterin hatte bei mir aufgelegt und war nicht bereit mir zu helfen und zuhören welches Problem ich habe und was ich schon alles mit den Technikern der Telekom besprochen hab' ich bitte Sie um *ein* ((Rückruf)) da man nicht so einfach auflegen kann wenn ein Kunde ein Problem hat
";"b";;;;;;;
"1256320800955.txt";"TRANSCRIPTION: die Beratung [fragment] [noise] die Beratung ist sehr schlecht man wird sofort aus der Leitung geschmissen
";"b";;;;;;;
"1256322121190.txt";"TRANSCRIPTION: ich wurde einfach aus der Leitung geschmissen @hes@ ich denk' das war *ein* technisches Problem
";"b";;;;;;;
"1256323441453.txt";"TRANSCRIPTION: dass *man* *fünfzig* Mal anrufen muss und immer *fünfzehn* bis zwanzig Minuten in der Leitung steht das nervt wie die Sau weiter
";"e";;;;;;;
"1256323441693.txt";"TRANSCRIPTION: ich habe mit einem Kundenberater gesprochen und das Gespräch @hes@ wurde eigentlich @hes@ auf Standby *gelegt* und @hes@ die Verbindung wurde abgebrochen das ist mir heute schon mehrfach passiert
";"b";;;;;;;
"1256323441748.txt";"TRANSCRIPTION: ich wurde [fragment] ich wurde gar nicht verbunden
";"a";;;;;;;
"1256324282521.txt";"TRANSCRIPTION: Cherie *ich* möchte einfach ein Kundenberater sprechen und ich hab' die (()) und von [fa] *irgendwelche* Musik auf *die* *Ohren* aber hab' noch kein Kundenberater gesprochen Mensch und jetzt mach' mal bitte *hin* hier [garbage]
";"a";;;;;;;
"1256324282729.txt";"TRANSCRIPTION: das *Gespräch* wurde unterbrochen ohne dass ich überhaupt meinen Wunsch äußern konnte
";"b";;;;;;;
"1256324522788.txt";"TRANSCRIPTION: die Auskunft [garbage] die Auskunft war nicht [fragment] zufrieden
";0;;;;;;;
"1256325123063.txt";"TRANSCRIPTION: die Dame die Dame hat einfach das Telefon aufgelegt und mich in die Bewertung weitergegeben unser Gespräch war noch nicht beendet
";"b";;;;;;;
"1256325484015.txt";"TRANSCRIPTION: na das Problem ist nicht gelöst ich hab' *ein* Schreiben gekriegt nachdem ich *einen* neuen Vertrag wohl auf Wunsch hätte und von dem Wunsch weiß ich aber nix [garbage]
";1;;;;;;;
"1256325724250.txt";"TRANSCRIPTION: wurd nicht [garbage] mir wurde leider nicht geholfen
";0;;;;;;;
"1256325964533.txt";"TRANSCRIPTION: das Problem war noch nicht behoben und das Gespräch wurde frühzeitig beendet und dann kam die Gesprächsbeurteilung [pause] weiter
";"b";;;;;;;
"1256326684838.txt";"TRANSCRIPTION: alles war nicht so wie ich's mir gewünscht hätte aber weiter
";0;;;;;;;
"1256326925120.txt";"TRANSCRIPTION: was die Telekom im Allgemeinen nicht @hes@ rasch handelt und einer immer von dem andern zu dem andern über @hes@ @hes@ setzt @hes@ und @hes@ weder der Kunde @hes@ mit mit irgendwelchen Antworten @hes@ zufriedengestellt wird obwohl es nicht in Gänge geht
";0;;;;;;;
"1256327285428.txt";"TRANSCRIPTION: die [fragment] die Beratung ist überhaupt nicht zu Ende geführt worden man hat mich auf eine Warteschleife gesetzt und dann geht es weiter auf Ihre Befragung
";"b";;;;;;;
"1256327645666.txt";"TRANSCRIPTION: weiter
";0;;;;;;;
"1256328245930.txt";"TRANSCRIPTION: es wurde einfach aufgelegt mitten im Beratungsgespräch tschüss [noise]
";"b";;;;;;;
"1256328726193.txt";"TRANSCRIPTION: ich habe [fragment] ich habe leider nichts gehört
";0;;;;;;;
"1256329086463.txt";"TRANSCRIPTION: [breath] der Kollege von Service wollte mich weiterverbinden an einen Techniker der mir helfen sollte dass ich wieder ins Kundencenter komme dann hat die Musik gedudelt und dann war die Verbindung weg und [fragment] und dann @hes@ [fragment] hat sich niemand mehr gemeldet und dann kam anschließend [breath] die Frage der Bewertung des Gesprächs
";"c";;;;;;;
"1256331486846.txt";"TRANSCRIPTION: ich wurde aus der Leitung geworfen ohne dass mir geholfen wurde obwohl's hieß dass ich weitergestellt werde
";"c";;;;;;;
"1256343487371.txt";"TRANSCRIPTION: der Service ist eine Katastrophe sechzig Minuten auf dem Festnetz und nun auf dem Handynetz Eplus nochmals @hes@ fünfzehn Minuten und dann im Grunde  *genommen* einfach abgehängt
";"e";"b";;;;;;
"1256361728005.txt";"TRANSCRIPTION: [fragment] freundlicher könnten Ihre Mitarbeiter sein das passiert ständig am Telefon das passiert hier das passiert in den Läden @hes@ ich versteh' nicht wieso Sie Ihre Mitarbeiter nicht richtig ausbilden
";"d";;;;;;;
"1256362328273.txt";"TRANSCRIPTION: ich habe überhaupt noch keine Antwort auf meine Frage erhalten
";"a";;;;;;;
"1256363528521.txt";"TRANSCRIPTION: ich habe die [fragment] ich habe die Kunden Kontonummer nicht sagen können von der Hotline und sie konnte mir auch nicht sagen wo ich diese finde beziehungsweise hat mich auf die erste Rechnung verwiesen die ich als Neukunde nicht habe
";1;;;;;;;
"1256363649500.txt";"TRANSCRIPTION: ich bin überhaupt *nicht* ins [fragment] @hes@ Gespräch *gekommen* @hes@ gekommen mit dem Berater eben es ist sofort @hes@ der die Befragung losgegangen also ich hab' jetzt gar keine Auskunft bekommen ich muss jetzt grad das Ganze von vorne noch mal anfangen muss noch mal anrufen und noch mal durchwählen also sehr übelst
";"a";;;;;;;
"1256365809822.txt";"TRANSCRIPTION: die Kundenberaterin war sehr nett und kompetent aber leider hat sie mir nicht die Befugnis mir tatsächlich weiterzuhelfen obwohl sie @hes@ wirklich alles Mögliche getan hat was in Ihrer in Ihrer Gewalt steht ich warte auf eine Stornierungs Bestätigung und die kann ich natürlich von der Kundenbetreuerin am Telefon nicht bekommen deshalb bin ich unzufrieden
";1;;;;;;;
"1256367130145.txt";"TRANSCRIPTION: dass wir eine Störung zehn Tage lang melden müssen und innerhalb zehn Tagen eine Störung nicht behoben wird trotz fünfmaliger Reklamation und heute wieder beim Gespräch uns nicht weitergeholfen werden kann das ist für einen Geschäftskunden Anschluss mehr wie traurig
";3;;;;;;;
"1256369171241.txt";"TRANSCRIPTION: [fragment] ich wollte die Telefonnummern die mich anrufen angezeigt haben und das ist bei mein Anschuss nicht möglich obwohl es in Zeitungen [fragment] @hes@ propagandiert wird @hes@ dass so was möglich ist Ihr Mitarbeiter konnte mir nicht helfen
";1;;;;;;;
"1256370011509.txt";"TRANSCRIPTION: ich ruf' zum fünften Mal an um mir ein Guthaben zu überweisen und nix geschieht
";1;;;;;;;
"1256370491743.txt";"TRANSCRIPTION: zurück zum Kundenberater bitte [garbage]
";0;;;;;;;
"1256370732017.txt";"TRANSCRIPTION: der Berater wollte das Gespräch schnell beenden
";"d";;;;;;;
"1256371092302.txt";"TRANSCRIPTION: [fragment] weiter weiter ich will den Störungsdienst haben [garbage]
";3;;;;;;;
"1256371572591.txt";"TRANSCRIPTION: [fragment] Anliegen mein Anliegen wurde überhaupt nicht @hes@ beantwortet beziehungsweise meine Frage und ich bin gleich in die Bewertungs Schleife rausgeflogen das heißt ich weiß jetzt gar nicht in [fragment] wie ich mich jetzt wieder an Sie wenden soll
";"a";;;;;;;
"1256371692873.txt";"TRANSCRIPTION: ich hab' in Januar ein Entertain Paket gebucht dieses @hes@ wurde nicht zu meiner Zufriedenheit zur Verfügung gestellt habe dieses dann im Mai widerrufen und erhalte seit Mai jetzt Mahnungen ja es wär' mal nett wenn sich da mal jemand drum kümmern würde danke
";1;;;;;;;
"1256372533874.txt";"TRANSCRIPTION: bei dem zweiten Versuch mit dem Servicecentern meine Probleme zu bearbeiten wurde auch beim zweiten Versuch plötzlich einfach im Privatkundenbereich die Verbindung getrennt das kann meiner Meinung nach nicht sein ich möcht' jetzt also jetzt noch einmal versuchen und möchte dann halt auch hoffen dass ich jetzt endlich hier eine Lösung finde zumal ich mit der Rufnummer @hes@ ja mittlerweile schon seit drei Monaten mich hier rumärgern muss [pause] und hoffe dann doch auf eine irgendwann hier *eine* endgültige Lösung zumal der Kundenberater im Privatkunden [fragment] im im Firmenkunden Bereich also sehr kompetent und sehr freundlich war aber im Privatkunden Bereich funktioniert das überhaupt nicht
";"b";;;;;;;
"1256372774165.txt";"TRANSCRIPTION: bin gar *nicht* *durchgekommen* *eine* einzige Katastrophe ein Tag jetzt bei der Telekom im Computer und klappt nix
";0;;;;;;;
"1256374094505.txt";"TRANSCRIPTION: es war *eine* absolute Unverschämtheit ich bin einfach in die Warteschleife gelegt worden es hat überhaupt kein Gespräch stattgefunden und dann kam die Anfrage @hes@ wie denn das Gespräch gewesen sei da hat also ein Mitarbeiter mich einfach in die Warteschleife gelegt um wahrscheinlich seine @hes@ Zahlen hochzudrücken aber nichts ist passiert absolut unverschämt kundenunfreundlich
";"b";;;;;;;
"1256374215495.txt";"TRANSCRIPTION: man @hes@ spricht jeweils mit anderen Beratern und jeder Berater gibt einem andere Auskünfte anscheinend werden @hes@ Produkte angeboten die @hes@ wovon die Berater überhaupt gar nichts wissen es gibt also äußerst unterschiedlich Auskünfte von verschiedenen Leuten und @hes@ immer wieder hat man das Gefühl regelrecht @hes@ ja an *der* Nase lang geführt zu werden um das jetzt mal umgangssprachlich auszudrücken
";1;"d";;;;;;
"1256374815772.txt";"TRANSCRIPTION: das erste Mal aus die [fragment] aus der Leitung geschmissen das zweite Mal beim Verbinden direkt auf den Sprachcomputer auf dem ich jetzt bespreche weiterverbunden ohne mein Problem zu lösen oder mir zu helfen
";"b";;;;;;;
"1256374815839.txt";"TRANSCRIPTION: ich werd' seit vier Wochen von der Telekom an der Nase herumgeführt ich bin von Kabel Deutschland wieder zur Telekom gewechselt und seitdem seit vier Wochen von Vodafone nicht zu erreichen
";1;;;;;;;
"1256374935917.txt";"TRANSCRIPTION: Beratung hat nicht stattgefunden mangels Verbindung Bumm
";"a";;;;;;;
"1256375056150.txt";"TRANSCRIPTION: keiner konnte mir eine Auskunft geben
";0;;;;;;;
"1256375056384.txt";"TRANSCRIPTION: [fragment] geschenkt gekriegt hallo [garbage]
";0;;;;;;;
"1256375416440.txt";"TRANSCRIPTION: meine Frage wurde nicht beantwortet
";0;;;;;;;
